Hispanic_Perdue,Hispanic_Ossoff,White_Perdue,White_Ossoff,Black_Perdue,Black_Ossoff,Asian_Perdue,Asian_Ossoff,Other_Perdue,Other_Ossoff
0.398789609,0.601210391,0.900993638,0.099006362,0.042702257,0.957297743,0.13219349,0.86780651,0.101818197,0.898181803
0.266509503,0.733490497,0.802452187,0.197547813,0.006705295,0.993294705,0.178199641,0.821800359,0.082293505,0.917706495
0.322495431,0.677504569,0.912831394,0.087168606,0.054216444,0.945783556,0.138836886,0.861163114,0.099879166,0.900120834
0.228128714,0.771871286,0.912270985,0.087729015,0.042929062,0.957070938,0.112158699,0.887841301,0.081805303,0.918194697
0.369852178,0.630147822,0.690623218,0.309376782,0.050592325,0.949407675,0.145671737,0.854328263,0.081709332,0.918290668
0.28868292,0.71131708,0.901740375,0.098259625,0.056700888,0.943299112,0.133261318,0.866738682,0.089462246,0.910537754
0.422121554,0.577878446,0.930772549,0.069227451,0.077267258,0.922732742,0.156481317,0.843518683,0.073128359,0.926871641
0.345696259,0.654303741,0.919870647,0.080129353,0.08095656,0.91904344,0.129496914,0.870503086,0.080641353,0.919358647
0.365223739,0.634776261,0.928191389,0.071808611,0.074311588,0.925688412,0.151992223,0.848007777,0.078344915,0.921655085
0.444528066,0.555471934,0.899160016,0.100839984,0.05653626,0.94346374,0.153931764,0.846068236,0.080594563,0.919405437
0.196065452,0.803934548,0.971312314,0.028687686,0.04635114,0.95364886,0.140916191,0.859083809,0.085576451,0.914423549
0.240932964,0.759067036,0.963451791,0.036548209,0.070411906,0.929588094,0.134575524,0.865424476,0.074405079,0.925594921
0.391234528,0.608765472,0.969481006,0.030518994,0.072192215,0.927807785,0.097012562,0.902987438,0.070717279,0.929282721
0.409115626,0.590884374,0.893345986,0.106654014,0.065788931,0.934211069,0.160217748,0.839782252,0.071399096,0.928600904
0.372704765,0.627295235,0.838487887,0.161512113,0.073897962,0.926102038,0.144618483,0.855381517,0.103928879,0.896071121
0.380990279,0.619009721,0.982125457,0.017874543,0.079240764,0.920759236,0.134467542,0.865532458,0.075211418,0.924788582
0.401818807,0.598181193,0.962594355,0.037405645,0.09356868,0.90643132,0.113905354,0.886094646,0.080263109,0.919736891
0.17690363,0.82309637,0.899152842,0.100847158,0.061411403,0.938588597,0.133708832,0.866291168,0.107687215,0.892312785
0.423548133,0.576451867,0.862320592,0.137679408,0.064279561,0.935720439,0.144548409,0.855451591,0.088234889,0.911765111
0.248403312,0.751596688,0.721567322,0.278432678,0.025912264,0.974087736,0.135466603,0.864533397,0.083036922,0.916963078
0.399948761,0.600051239,0.969080197,0.030919803,0.143355223,0.856644777,0.171582898,0.828417102,0.115262115,0.884737885
0.276163068,0.723836932,0.965327486,0.034672514,0.071569274,0.928430726,0.137894414,0.862105586,0.079190811,0.920809189
0.324053929,0.675946071,0.85629929,0.14370071,0.074659234,0.925340766,0.113502426,0.886497574,0.101162839,0.898837161
0.302570254,0.697429746,0.956792731,0.043207269,0.071884725,0.928115275,0.125490176,0.874509824,0.090980858,0.909019142
0.402412335,0.597587665,0.880203349,0.119796651,0.062232223,0.937767777,0.183157186,0.816842814,0.092565071,0.907434929
0.352524252,0.647475748,0.978085655,0.021914345,0.074483431,0.925516569,0.114301922,0.885698078,0.073197224,0.926802776
0.387314668,0.612685332,0.982442244,0.017557756,0.057971612,0.942028388,0.164802956,0.835197044,0.085470137,0.914529863
0.328130329,0.671869671,0.904464829,0.095535171,0.038703735,0.961296265,0.13897984,0.86102016,0.089369526,0.910630474
0.291679204,0.708320796,0.886022436,0.113977564,0.044075574,0.955924426,0.122132448,0.877867552,0.077114335,0.922885665
0.370380973,0.629619027,0.980670864,0.019329136,0.099152988,0.900847012,0.144673951,0.855326049,0.095756809,0.904243191
0.233433905,0.766566095,0.925579171,0.074420829,0.07155075,0.92844925,0.096247618,0.903752382,0.116083967,0.883916033
0.298652765,0.701347235,0.923467509,0.076532491,0.051984994,0.948015006,0.127335178,0.872664822,0.092991713,0.907008287
0.321923136,0.678076864,0.863644056,0.136355944,0.064213828,0.935786172,0.12587057,0.87412943,0.105708222,0.894291778
0.254580962,0.745419038,0.924364154,0.075635846,0.057470184,0.942529816,0.133141111,0.866858889,0.101721007,0.898278993
0.263260953,0.736739047,0.883316999,0.116683001,0.098823064,0.901176936,0.134125701,0.865874299,0.109815546,0.890184454
0.33323621,0.66676379,0.937663862,0.062336138,0.063962013,0.936037987,0.15298979,0.84701021,0.091894424,0.908105576
0.501116283,0.498883717,0.882257434,0.117742566,0.087851103,0.912148897,0.109258982,0.890741018,0.103795354,0.896204646
0.431363728,0.568636272,0.906343855,0.093656145,0.08263165,0.91736835,0.209859658,0.790140342,0.095428389,0.904571611
0.40970506,0.59029494,0.789035079,0.210964921,0.035205315,0.964794685,0.092889588,0.907110412,0.094639766,0.905360234
0.324939622,0.675060378,0.841476819,0.158523181,0.069057084,0.930942916,0.105331774,0.894668226,0.080340864,0.919659136
0.28766234,0.71233766,0.826075733,0.173924267,0.03674099,0.96325901,0.144476653,0.855523347,0.080248946,0.919751054
0.283159025,0.716840975,0.959924013,0.040075987,0.053171764,0.946828236,0.128254591,0.871745409,0.090378458,0.909621542
0.35825102,0.64174898,0.855388485,0.144611515,0.098233497,0.901766503,0.12892164,0.87107836,0.09250284,0.90749716
0.40554069,0.59445931,0.860159667,0.139840333,0.051288673,0.948711327,0.090530626,0.909469374,0.101726725,0.898273275
0.206568534,0.793431466,0.635379333,0.364620667,0.058454857,0.941545143,0.08661064,0.91338936,0.086456978,0.913543022
0.348181511,0.651818489,0.805114021,0.194885979,0.097566252,0.902433748,0.12954655,0.87045345,0.093604695,0.906395305
0.45864712,0.54135288,0.903792734,0.096207266,0.053167293,0.946832707,0.104414907,0.895585093,0.081072253,0.918927747
0.364468623,0.635531377,0.940785449,0.059214551,0.101571709,0.898428291,0.155738529,0.844261471,0.093370599,0.906629401
0.460892241,0.539107759,0.903483382,0.096516618,0.077229312,0.922770688,0.149703306,0.850296694,0.092307888,0.907692112
0.348383224,0.651616776,0.880559088,0.119440912,0.041826958,0.958173042,0.120779375,0.879220625,0.126431972,0.873568028
0.107219224,0.892780776,0.954710651,0.045289349,0.060878094,0.939121906,0.081729767,0.918270233,0.122187165,0.877812835
0.238463845,0.761536155,0.893601293,0.106398707,0.075128907,0.924871093,0.107509518,0.892490482,0.08466346,0.91533654
0.433202096,0.566797904,0.832947208,0.167052792,0.113583715,0.886416285,0.205649316,0.794350684,0.076595651,0.923404349
