Precincts,Demographics,Candidates,Abstain
315-ABBEVILLE NORTH 2,,,
271-JACKSONVILLE,,,
153-HEFS,,,
093-UNADILLA,,,
235-COURTHOUSE ANNEX,,,
315-PINEVIEW 2,,,
315-ROCHELLE NORTH 1,,,
153-ROZR,,,
225-BYRON 2,,,
153-HHPC,,,
199-LUTHERSVILLE,,,
077-MORELAND,,,
081-JAMESTOWN,,,
321-WARWICK,,,
277-TY TY,,,
321-SUMNER,,,
153-HAFS,,,
225-FORT VALLEY 3,,,
045-WHITESBURG,,,
077-PANTHER CREEK,,,
077-CEDAR CREEK,,,
077-NORTHSIDE,,,
077-WHITE OAK,,,
077-RAYMOND,,,
077-WELCOME,,,
077-PINE ROAD,,,
091-EDDIN,,,
091-LEE,,,
097-BOUNDARY WATERS,,,
073-SECOND MT CARMEL BAPTIST CHURCH,,,
077-GREENTOP,,,
077-CENTRAL,,,
229-PATTERSON,,,
229-OTTER CREEK,,,
321-POULAN,,,
321-SYLVESTER,,,
025-WAYNESVILLE,,,
025-NAHUNTA,,,
023-FAIRGROUND,,,
091-EMPIRE,,,
207-FORSYTH,,,
207-COX,,,
255-19,,,
231-SECOND DISTRICT,,,
231-MEANSVILLE,,,
231-ZEBULON,,,
039-TARBORO,,,
049-WINOKUR,,,
285-HAMMETT RD,,,
149-FRANKLIN,,,
097-LITHIA SPRINGS HIGH SCHOOL,,,
097-FACTORY SHOALS,,,
097-FIRST BAPTIST LITHIA SPRINGS,,,
045-CLEM,,,
077-DRESDEN,,,
045-TYUS,,,
045-BOWDON,,,
149-EPHESUS,,,
149-SOUTHWEST,,,
149-CENTRALHATCHEE,,,
149-COOKSVILLE-CORINTH,,,
145-WHITESVILLE,,,
145-SKINNER,,,
149-ENON GROVE,,,
045-OAK GROVE,,,
045-ROOPVILLE,,,
045-OLD CAMP CHURCH,,,
037-EDISON-ARLINGTON,,,
243-COLEMAN,,,
107-TWIN CITY,,,
033-MIDVILLE,,,
115-MT ALTO NORTH,,,
115-GARDEN LAKES,,,
115-MT ALTO SOUTH,,,
115-ALTO PARK,,,
285-HIGHLAND,,,
285-GRIGGS CENTER,,,
107-SWAINSBORO,,,
163-WADLEY,,,
189-137,,,
107-GARFIELD,,,
189-139,,,
107-SUMMERTOWN,,,
107-CANOOCHEE,,,
163-AVERA,,,
045-LAKESHORE REC CENTER,,,
037-EDISON,,,
107-ADRIAN,,,
107-BLUNDALE,,,
297-GRATIS,,,
167-KITE,,,
163-BARTOW,,,
189-131,,,
